FromNo,ToNo,From,Part
1,1,91714,0
1,2,91714,1382
1,3,91714,1702
1,4,91714,875
1,5,91714,138
1,6,91714,5294
1,7,91714,359
1,8,91714,237
1,9,91714,1332
1,10,91714,0
1,11,91714,106
1,12,91714,4998
1,13,91714,1195
1,14,91714,665
1,15,91714,1914
1,16,91714,1187
1,17,91714,1425
1,18,91714,1640
1,19,91714,677
1,20,91714,138
1,21,91714,324
1,22,91714,297
1,23,91714,325
1,24,91714,254
1,25,91714,585
1,26,91714,615
1,27,91714,478
1,28,91714,505
1,29,91714,5
1,30,91714,458
1,31,91714,1290
1,32,91714,763
1,33,91714,6617
1,34,91714,846
1,35,91714,1642
1,36,91714,341
1,37,91714,1467
1,38,91714,4691
1,39,91714,68
1,40,91714,451
1,41,91714,1688
1,42,91714,0
1,43,91714,26
1,44,91714,230
1,45,91714,1412
1,46,91714,85
1,47,91714,534
1,48,91714,220
1,49,91714,520
1,50,91714,411
1,51,91714,5747
1,52,91714,4671
1,53,91714,1639
1,54,91714,1912
1,55,91714,415
1,56,91714,4165
1,57,91714,266
1,58,91714,432
1,59,91714,301
1,60,91714,7
1,61,91714,293
1,62,91714,2200
1,63,91714,658
1,64,91714,342
1,65,91714,370
1,66,91714,0
1,67,91714,1191
1,68,91714,3026
1,69,91714,0
1,70,91714,1675
1,71,91714,673
1,72,91714,452
1,73,91714,700
1,74,91714,3271
1,75,91714,2601
1,76,91714,337
1,77,91714,468
1,78,91714,1373
1,79,91714,117
2,1,217060,1370
2,2,217060,0
2,3,217060,4216
2,4,217060,2361
2,5,217060,576
2,6,217060,16120
2,7,217060,964
2,8,217060,773
2,9,217060,3887
2,10,217060,0
2,11,217060,296
2,12,217060,5472
2,13,217060,2763
2,14,217060,1704
2,15,217060,5581
2,16,217060,3219
2,17,217060,3705
2,18,217060,3456
2,19,217060,1677
2,20,217060,325
2,21,217060,1003
2,22,217060,830
2,23,217060,448
2,24,217060,956
2,25,217060,1922
2,26,217060,2209
2,27,217060,1826
2,28,217060,1588
2,29,217060,53
2,30,217060,1752
2,31,217060,3067
2,32,217060,2227
2,33,217060,16744
2,34,217060,2390
2,35,217060,5133
2,36,217060,1062
2,37,217060,4457
2,38,217060,16309
2,39,217060,181
2,40,217060,1357
2,41,217060,5277
2,42,217060,0
2,43,217060,120
2,44,217060,521
2,45,217060,3846
2,46,217060,247
2,47,217060,947
2,48,217060,580
2,49,217060,1256
2,50,217060,850
2,51,217060,2767
2,52,217060,5757
2,53,217060,4323
2,54,217060,4981
2,55,217060,1031
2,56,217060,13392
2,57,217060,525
2,58,217060,1343
2,59,217060,789
2,60,217060,84
2,61,217060,639
2,62,217060,4161
2,63,217060,1492
2,64,217060,1439
2,65,217060,1106
2,66,217060,0
2,67,217060,2620
2,68,217060,5620
2,69,217060,0
2,70,217060,5119
2,71,217060,1820
2,72,217060,1403
2,73,217060,1641
2,74,217060,7078
2,75,217060,4402
2,76,217060,764
2,77,217060,1175
2,78,217060,3353
2,79,217060,613
3,1,240382,1620
3,2,240382,4301
3,3,240382,0
3,4,240382,2868
3,5,240382,508
3,6,240382,15957
3,7,240382,888
3,8,240382,666
3,9,240382,3794
3,10,240382,0
3,11,240382,256
3,12,240382,8083
3,13,240382,3550
3,14,240382,1967
3,15,240382,4702
3,16,240382,3784
3,17,240382,4814
3,18,240382,3934
3,19,240382,1733
3,20,240382,369
3,21,240382,766
3,22,240382,840
3,23,240382,598
3,24,240382,1168
3,25,240382,1625
3,26,240382,2065
3,27,240382,1993
3,28,240382,1332
3,29,240382,46
3,30,240382,1751
3,31,240382,3130
3,32,240382,2512
3,33,240382,19242
3,34,240382,2524
3,35,240382,5376
3,36,240382,1073
3,37,240382,4296
3,38,240382,15100
3,39,240382,225
3,40,240382,1398
3,41,240382,5156
3,42,240382,0
3,43,240382,141
3,44,240382,422
3,45,240382,4132
3,46,240382,226
3,47,240382,946
3,48,240382,625
3,49,240382,1212
3,50,240382,886
3,51,240382,3853
3,52,240382,6638
3,53,240382,4323
3,54,240382,6558
3,55,240382,1415
3,56,240382,15501
3,57,240382,1062
3,58,240382,1566
3,59,240382,1007
3,60,240382,75
3,61,240382,769
3,62,240382,5435
3,63,240382,1702
3,64,240382,1275
3,65,240382,995
3,66,240382,2
3,67,240382,3494
3,68,240382,6674
3,69,240382,0
3,70,240382,5822
3,71,240382,2446
3,72,240382,1456
3,73,240382,2160
3,74,240382,9271
3,75,240382,5435
3,76,240382,967
3,77,240382,1125
3,78,240382,4295
3,79,240382,461
4,1,141536,923
4,2,141536,2248
4,3,141536,2964
4,4,141536,0
4,5,141536,297
4,6,141536,7077
4,7,141536,521
4,8,141536,293
4,9,141536,1979
4,10,141536,0
4,11,141536,172
4,12,141536,4376
4,13,141536,2204
4,14,141536,1148
4,15,141536,2406
4,16,141536,2575
4,17,141536,2535
4,18,141536,2212
4,19,141536,919
4,20,141536,266
4,21,141536,550
4,22,141536,546
4,23,141536,491
4,24,141536,590
4,25,141536,1322
4,26,141536,1802
4,27,141536,1293
4,28,141536,887
4,29,141536,30
4,30,141536,1085
4,31,141536,2090
4,32,141536,1739
4,33,141536,12296
4,34,141536,1345
4,35,141536,3329
4,36,141536,404
4,37,141536,3029
4,38,141536,8094
4,39,141536,165
4,40,141536,609
4,41,141536,2788
4,42,141536,0
4,43,141536,75
4,44,141536,255
4,45,141536,2121
4,46,141536,111
4,47,141536,550
4,48,141536,417
4,49,141536,741
4,50,141536,463
4,51,141536,1721
